2026-03-12 02:31:14 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867985 "HTTP/1.1 200 OK"
2026-03-12 02:31:15 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867977 "HTTP/1.1 200 OK"
2026-03-12 02:31:16 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867983 "HTTP/1.1 200 OK"
2026-03-12 02:31:17 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867988 "HTTP/1.1 200 OK"
2026-03-12 02:31:17 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867992 "HTTP/1.1 200 OK"
2026-03-12 02:31:19 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867993 "HTTP/1.1 200 OK"
2026-03-12 02:31:20 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867989 "HTTP/1.1 200 OK"
2026-03-12 02:31:21 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867986 "HTTP/1.1 200 OK"
2026-03-12 02:31:21 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867987 "HTTP/1.1 200 OK"
2026-03-12 02:31:22 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867995 "HTTP/1.1 200 OK"
2026-03-12 02:31:23 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867991 "HTTP/1.1 200 OK"
2026-03-12 02:31:24 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867994 "HTTP/1.1 200 OK"
2026-03-12 02:31:25 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867990 "HTTP/1.1 200 OK"
2026-03-12 02:31:26 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868000 "HTTP/1.1 200 OK"
2026-03-12 02:31:27 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868002 "HTTP/1.1 200 OK"
2026-03-12 02:31:28 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868005 "HTTP/1.1 200 OK"
2026-03-12 02:31:29 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868004 "HTTP/1.1 200 OK"
2026-03-12 02:31:30 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867999 "HTTP/1.1 200 OK"
2026-03-12 02:31:31 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867997 "HTTP/1.1 200 OK"
2026-03-12 02:31:32 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868003 "HTTP/1.1 200 OK"
2026-03-12 02:31:32 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867996 "HTTP/1.1 200 OK"
2026-03-12 02:31:33 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=867998 "HTTP/1.1 200 OK"
2026-03-12 02:31:34 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868001 "HTTP/1.1 200 OK"
2026-03-12 02:31:35 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868023 "HTTP/1.1 200 OK"
2026-03-12 02:31:36 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868016 "HTTP/1.1 200 OK"
2026-03-12 02:31:37 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868025 "HTTP/1.1 200 OK"
2026-03-12 02:31:38 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868022 "HTTP/1.1 200 OK"
2026-03-12 02:31:39 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868024 "HTTP/1.1 200 OK"
2026-03-12 02:31:39 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868017 "HTTP/1.1 200 OK"
2026-03-12 02:31:40 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868020 "HTTP/1.1 200 OK"
2026-03-12 02:31:41 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868027 "HTTP/1.1 200 OK"
2026-03-12 02:31:42 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868026 "HTTP/1.1 200 OK"
2026-03-12 02:31:43 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868029 "HTTP/1.1 200 OK"
2026-03-12 02:31:43 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868032 "HTTP/1.1 200 OK"
2026-03-12 02:31:44 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868034 "HTTP/1.1 200 OK"
2026-03-12 02:31:45 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868028 "HTTP/1.1 200 OK"
2026-03-12 02:31:46 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868035 "HTTP/1.1 200 OK"
2026-03-12 02:31:47 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868033 "HTTP/1.1 200 OK"
2026-03-12 02:31:47 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868030 "HTTP/1.1 200 OK"
2026-03-12 02:31:48 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868031 "HTTP/1.1 200 OK"
2026-03-12 02:31:49 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868043 "HTTP/1.1 200 OK"
2026-03-12 02:31:50 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868036 "HTTP/1.1 200 OK"
2026-03-12 02:31:51 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868039 "HTTP/1.1 200 OK"
2026-03-12 02:31:52 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868042 "HTTP/1.1 200 OK"
2026-03-12 02:31:53 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868038 "HTTP/1.1 200 OK"
2026-03-12 02:31:54 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868045 "HTTP/1.1 200 OK"
2026-03-12 02:31:55 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868040 "HTTP/1.1 200 OK"
2026-03-12 02:31:56 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868037 "HTTP/1.1 200 OK"
2026-03-12 02:31:57 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868041 "HTTP/1.1 200 OK"
2026-03-12 02:31:58 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868044 "HTTP/1.1 200 OK"
2026-03-12 02:31:58 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868047 "HTTP/1.1 200 OK"
2026-03-12 02:31:59 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868050 "HTTP/1.1 200 OK"
2026-03-12 02:32:00 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868048 "HTTP/1.1 200 OK"
2026-03-12 02:32:01 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868055 "HTTP/1.1 200 OK"
2026-03-12 02:32:02 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868054 "HTTP/1.1 200 OK"
2026-03-12 02:32:03 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868052 "HTTP/1.1 200 OK"
2026-03-12 02:32:04 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868053 "HTTP/1.1 200 OK"
2026-03-12 02:32:04 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868049 "HTTP/1.1 200 OK"
2026-03-12 02:32:05 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868046 "HTTP/1.1 200 OK"
2026-03-12 02:32:06 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868051 "HTTP/1.1 200 OK"
2026-03-12 02:32:07 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868059 "HTTP/1.1 200 OK"
2026-03-12 02:32:08 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868062 "HTTP/1.1 200 OK"
2026-03-12 02:32:09 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868063 "HTTP/1.1 200 OK"
2026-03-12 02:32:10 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868056 "HTTP/1.1 200 OK"
2026-03-12 02:32:11 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868064 "HTTP/1.1 200 OK"
2026-03-12 02:32:12 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868058 "HTTP/1.1 200 OK"
2026-03-12 02:32:13 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868065 "HTTP/1.1 200 OK"
2026-03-12 02:32:14 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868060 "HTTP/1.1 200 OK"
2026-03-12 02:32:15 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868061 "HTTP/1.1 200 OK"
2026-03-12 02:32:16 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868071 "HTTP/1.1 200 OK"
2026-03-12 02:32:17 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868068 "HTTP/1.1 200 OK"
2026-03-12 02:32:18 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868070 "HTTP/1.1 200 OK"
2026-03-12 02:32:19 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868067 "HTTP/1.1 200 OK"
2026-03-12 02:32:20 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868075 "HTTP/1.1 200 OK"
2026-03-12 02:32:20 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868072 "HTTP/1.1 200 OK"
2026-03-12 02:32:21 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868069 "HTTP/1.1 200 OK"
2026-03-12 02:32:22 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868066 "HTTP/1.1 200 OK"
2026-03-12 02:32:23 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868073 "HTTP/1.1 200 OK"
2026-03-12 02:32:24 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868074 "HTTP/1.1 200 OK"
2026-03-12 02:32:25 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868082 "HTTP/1.1 200 OK"
2026-03-12 02:32:26 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868085 "HTTP/1.1 200 OK"
2026-03-12 02:32:27 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868076 "HTTP/1.1 200 OK"
2026-03-12 02:32:28 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868079 "HTTP/1.1 200 OK"
2026-03-12 02:32:29 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868080 "HTTP/1.1 200 OK"
2026-03-12 02:32:30 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures/statistics?fixture=868078 "HTTP/1.1 200 OK"
